team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Germany National Team,Germany,2020,Germany,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,2,0,0,14,6,7,-1,13,4,9,2,4,2,5,0,-1,60,45,68,51,45,54,0,0,0,2,1,1,2,0,2,0,0,0,17,6,11,7,2,5,62,75,58,53,19,34,22,8,14,31,11,20,44,10,34,2,0,2,3,1,2,-1,-1,0,1,0,1,1,0,1,2,1,1,1,0,1.33,3.25,4,3,1.5,2,1.33,1.75,2,1.67,1.25,1,1.33,0.5,0,0.67,0.75,1,0.67,4,3,2,2,1,1,1,1,1,1,0,0,3,2,1,1,1,1,0,1,2,2,3,3,0,0,0,0,1,1,0,1,2,2,2,2,100,75,50,50,25,25,100,100,100,100,0,0,100,67,33,33,33,33,0,25,50,50,75,75,0,0,0,0,100,100,0,33,67,67,67,67,3,1,1,1,0,0,2,1,1,75,25,25,100,0,0,67,33,33,25,0,33,10,0,0,0,50,100,33,50,0,67,0,0,0,1,0,1,25,0,33,3,1,2,75,100,67,1,0,1,25,0,33,25,0,33,25,0,33,50,100,33,4.25,6.00,3.67,1.75,2,1.67,75,50,25,0,0,0,0,0,1.18,1.50,1.07,0.42,0.11,0.52,100,0,0,0,2,0,2,1,0,1,0,3,0,0,0,0,2,1,1,25,100,0,50,0,67,0
England National Team,England,2020,England,7,4,3,0,5,3,2,2,1,1,0,0,0,2.43,2.5,2.33,1,0,0,1,11,2,9,13,6,7,5,6,1,1,4,5,57,72,45,310,360,273,5,3,2,2,1,1,1,1,0,5,2,3,29,16,13,6,5,1,51,54,47,61,39,22,30,16,14,31,23,8,71,43,28,4,1,3,1,1,0,3,0,3,3,0,3,4,4,0,0,0,0,1.86,1,3,1.86,1.5,2.33,1.57,1.25,2,0.29,0.25,0.33,0.71,0.5,1,0.57,0.25,1,0.14,0.25,0,6,4,2,1,0,0,3,2,1,0,0,0,3,2,1,1,0,0,1,3,5,6,7,7,1,2,3,4,4,4,0,1,2,2,3,3,86,57,29,14,0,0,75,50,25,0,0,0,100,67,33,33,0,0,14,43,71,86,100,100,25,50,75,100,100,100,0,33,67,67,100,100,4,1,0,1,1,0,3,0,0,57,14,0,25,25,0,100,0,0,71,75,67,-3,71,75,67,29,25,33,14,25,0,71,50,100,6,3,3,86,75,100,3,3,0,43,75,0,1,1,0,14,25,0,43,0,100,57,100,0,0,0,0,4.14,4.00,4.33,0.86,1.25,0.33,56,56,43,43,28,0,0,0,0.91,1.02,0.78,0.87,0.84,0.90,29,2,1,0,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,29,25,33,0,0,0,0
Hungary National Team,Hungary,2020,Hungary,3,2,1,0,0,0,0,2,1,1,1,1,0,0.67,0.5,1,4,0,0,20,3,6,-3,9,5,4,1,2,4,2,-3,0,90,180,45,45,45,45,0,0,0,2,1,1,1,1,0,2,1,1,2,1,1,6,3,3,30,32,25,22,12,10,13,8,5,9,4,5,37,27,10,2,1,1,0,0,0,2,1,1,2,1,1,1,1,0,0,0,0,2.33,2,3,3,2.5,4,1,0.5,2,2,2,2,0.67,0.5,1,0.67,0.5,1,0,0,0,3,3,2,1,0,0,2,2,1,0,0,0,1,1,1,1,0,0,0,0,1,2,3,3,0,0,1,2,2,2,0,0,0,0,1,1,100,100,67,33,0,0,100,100,50,0,0,0,100,100,100,100,0,0,0,0,33,67,100,100,0,0,50,100,100,100,0,0,0,0,100,100,2,0,0,1,0,0,1,0,0,67,0,0,50,0,0,100,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,67,50,100,3,2,1,100,100,100,1,1,0,33,50,0,0,0,0,0,0,0,67,50,100,33,50,0,0,0,0,0.67,0.50,1.00,2,1.5,3.00,33,0,0,0,0,0,0,0,0.19,0.25,0.09,1.46,1.46,1.46,100,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,4,67,50,100,33,50,0,0
Italy National Team,Italy,2020,Italy,7,5,2,0,5,3,2,2,2,0,0,0,0,2.43,2.2,3,1,0,0,2,13,4,9,17,11,6,8,5,3,1,5,4,48,56,36,158,150,180,3,2,1,4,3,1,0,0,0,6,4,2,31,18,13,12,10,2,54,53,59,119,79,40,39,26,13,80,53,27,90,69,21,4,2,2,2,1,1,2,1,1,3,2,1,3,2,1,1,1,0,1.71,1.6,2,2.43,2.2,3,1.86,1.6,2.5,0.57,0.6,0.5,0.86,0.6,1.5,0.57,0.4,1,0.29,0.2,0.5,7,6,4,0,0,0,5,4,2,0,0,0,2,2,2,0,0,0,0,1,3,7,7,7,0,1,3,5,5,5,0,0,0,2,2,2,100,86,57,0,0,0,100,80,40,0,0,0,100,100,100,0,0,0,0,14,43,100,100,100,0,20,60,100,100,100,0,0,0,100,100,100,4,1,1,3,0,0,1,1,1,57,14,14,60,0,0,50,50,50,71,60,100,-10,43,40,50,57,60,50,0,0,0,86,80,100,5,4,1,71,80,50,4,3,1,57,60,50,1,0,1,14,0,50,43,40,50,43,40,50,14,20,0,4.43,3.60,6.50,1.71,2,1.00,86,56,28,28,14,14,14,14,1.64,1.61,1.73,0.69,0.82,0.37,14,0,0,1,2,1,3,2,1,1,1,0,0,0,1,0,0,1,0,29,40,0,0,0,0,0
Belgium National Team,Belgium,2020,Belgium,5,3,2,0,4,2,2,0,0,0,1,1,0,2.4,2,3,1,0,0,3,9,3,6,12,7,5,5,4,2,1,3,3,50,54,45,150,134,180,3,2,1,2,1,1,0,0,0,3,2,1,20,11,9,4,3,1,54,52,57,54,28,26,26,12,14,28,16,12,64,39,25,4,4,0,3,2,1,1,2,-1,2,2,0,1,0,1,2,1,1,1.4,2,0.5,2.4,2.33,2.5,1.8,1.67,2,0.6,0.67,0.5,1.4,2,0.5,0.8,1.33,0,0.6,0.67,0.5,5,4,3,0,0,0,3,2,2,0,0,0,2,2,1,0,0,0,0,1,2,5,5,5,0,1,1,3,3,3,0,0,1,2,2,2,100,80,60,0,0,0,100,67,67,0,0,0,100,100,50,0,0,0,0,20,40,100,100,100,0,33,33,100,100,100,0,0,50,100,100,100,4,2,1,3,2,1,1,0,0,80,40,20,100,67,33,50,0,0,80,67,100,-10,60,67,50,40,33,50,0,0,0,60,67,50,3,2,1,60,67,50,2,0,2,40,0,100,1,1,0,20,33,0,40,67,0,20,0,50,40,33,50,4.00,3.67,4.50,0.8,1,0.50,20,20,20,20,20,20,20,20,0.98,0.84,1.19,1.22,1.33,1.06,20,1,0,0,1,2,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,20,33,0,0
Wales National Team,Wales,2020,Wales,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,2,0,0,16,3,6,-3,9,6,3,1,2,5,1,-4,1,120,180,90,60,36,180,1,0,1,1,1,0,2,1,1,1,0,1,13,5,8,13,7,6,38,42,34,43,22,21,15,5,10,28,17,11,37,17,20,1,0,1,2,1,1,-1,-1,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,2.25,3,1.5,0.75,0.5,1,1.5,2.5,0.5,0.75,0.5,1,0.25,0,0.5,0.5,0.5,0.5,4,3,1,1,0,0,2,2,1,1,0,0,2,1,0,0,0,0,0,1,3,3,4,4,0,0,1,1,2,2,0,1,2,2,2,2,100,75,25,25,0,0,100,100,50,50,0,0,100,50,0,0,0,0,0,25,75,75,100,100,0,0,50,50,100,100,0,50,100,100,100,100,3,0,0,1,0,0,2,0,0,75,0,0,50,0,0,100,0,0,25,0,50,-50,25,0,50,25,50,0,50,50,50,25,0,50,2,1,1,50,50,50,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,50,0,50,50,50,3.25,2.50,4.00,3.25,3.5,3.00,100,100,75,75,50,50,50,50,0.68,0.62,0.73,1.73,1.72,1.74,50,0,0,0,0,1,0,0,1,1,0,0,1,1,2,0,0,0,2,25,50,0,50,50,50,50
Netherlands National Team,Netherlands,2020,Netherlands,4,3,1,0,3,2,1,0,0,0,1,1,0,2.25,2,3,1,0,0,5,8,4,4,12,9,3,5,3,4,0,1,3,45,54,30,90,68,0,2,1,1,1,1,0,1,1,0,3,2,1,20,13,7,5,5,0,55,53,59,56,38,18,22,13,9,34,25,9,41,28,13,2,1,1,0,0,0,2,1,1,2,1,1,2,2,0,0,0,0,2,1.67,3,3,3,3,2,1.67,3,1,1.33,0,0.5,0.33,1,0.5,0.33,1,0,0,0,4,4,2,1,1,0,3,3,1,1,1,0,1,1,1,0,0,0,0,0,2,3,3,4,0,0,2,2,2,3,0,0,0,1,1,1,100,100,50,25,25,0,100,100,33,33,33,0,100,100,100,0,0,0,0,0,50,75,75,100,0,0,67,67,67,100,0,0,0,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,33,0,0,100,0,0,75,67,100,-25,50,33,100,25,33,0,25,33,0,75,67,100,4,3,1,100,100,100,2,2,0,50,67,0,0,0,0,0,0,0,50,33,100,50,67,0,0,0,0,5.00,4.33,7.00,1.25,1.67,0.00,75,50,50,50,50,25,0,0,1.24,1.21,1.31,0.78,0.95,0.28,100,0,1,1,0,0,4,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,25,33,0,0
Slovakia National Team,Slovakia,2020,Slovakia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,19,2,7,-5,9,5,4,0,2,5,2,-5,0,134,0,90,39,18,90,0,0,0,1,0,1,2,1,1,1,0,1,8,0,8,6,2,4,45,34,51,26,4,22,3,0,3,23,4,19,34,14,20,1,0,1,2,2,0,-1,-2,1,1,0,1,1,0,1,1,1,0,1.33,0,2,3,5,2,0.67,0,1,2.33,5,1,1,2,0.5,0.33,0,0.5,0.67,2,0,3,2,2,1,1,0,1,1,1,1,1,0,2,1,1,0,0,0,0,1,1,2,2,3,0,0,0,0,0,1,0,1,1,2,2,2,100,67,67,33,33,0,100,100,100,100,100,0,100,50,50,0,0,0,0,33,33,67,67,100,0,0,0,0,0,100,0,50,50,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,33,0,50,-108,0,0,0,33,0,50,67,100,50,33,0,50,2,0,2,67,0,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,33,0,50,33,100,0,2.67,0.00,4.00,2,2,2.00,100,33,33,33,33,33,33,0,0.11,0.00,0.43,1.36,1.52,1.28,67,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,1,2,0,0,0,0,67,100,50,0
France National Team,France,2020,France,4,2,2,0,1,1,0,3,1,2,0,0,0,1.5,2,1,1,0,0,10,7,6,1,13,7,6,4,3,3,3,1,0,51,45,60,60,60,60,1,1,0,3,1,2,0,0,0,1,1,0,15,11,4,8,3,5,53,46,59,53,25,28,20,9,11,33,16,17,51,21,30,2,1,1,3,1,2,-1,0,-1,1,1,0,1,0,1,2,1,1,1,1.5,0.5,3.25,3.5,3,1.75,2,1.5,1.5,1.5,1.5,1.25,1,1.5,0.5,0.5,0.5,0.75,0.5,1,4,3,2,2,1,1,2,1,1,1,1,1,2,2,1,1,0,0,0,1,2,2,3,3,0,1,1,1,1,1,0,0,1,1,2,2,100,75,50,50,25,25,100,50,50,50,50,50,100,100,50,50,0,0,0,25,50,50,75,75,0,50,50,50,50,50,0,0,50,50,100,100,4,1,0,2,0,0,2,1,0,100,25,0,100,0,0,100,50,0,25,50,0,0,25,50,0,75,50,100,0,0,0,25,50,0,1,1,0,25,50,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,25,0,50,50,50,50,3.75,5.50,2.00,2,1.5,2.50,50,50,25,25,25,25,25,0,1.04,0.94,1.16,0.69,0.81,0.58,100,0,1,0,0,2,2,1,1,0,0,1,0,1,1,1,0,0,2,75,50,100,0,0,0,0
Croatia National Team,Croatia,2020,Croatia,4,3,1,0,1,1,0,1,1,0,2,1,1,1,1.33,0,3,0,0,13,7,8,-1,15,14,1,7,0,7,1,0,-1,51,39,0,45,39,90,0,0,0,3,3,0,1,0,1,2,2,0,11,10,1,7,4,3,50,49,50,42,33,9,19,16,3,23,17,6,53,43,10,2,2,0,3,3,0,-1,-1,0,0,0,0,3,2,1,1,1,0,0.75,0.67,1,3.75,4.67,1,1.75,2.33,0,2,2.33,1,1.25,1.67,0,0.5,0.67,0,0.75,1,0,4,3,2,2,1,1,3,3,2,2,1,1,1,0,0,0,0,0,0,1,2,2,3,3,0,0,1,1,2,2,0,1,1,1,1,1,100,75,50,50,25,25,100,100,67,67,33,33,100,0,0,0,0,0,0,25,50,50,75,75,0,0,33,33,67,67,0,100,100,100,100,100,3,2,0,3,2,0,0,0,0,75,50,0,100,67,0,0,0,0,25,33,0,8,0,0,0,75,100,0,25,0,100,50,67,0,1,0,1,25,0,100,2,1,1,50,33,100,2,2,0,50,67,0,0,0,0,75,67,100,25,33,0,2.75,3.33,1.00,1.75,1.33,3.00,75,75,50,25,25,25,0,0,0.81,1.05,0.08,0.94,1.24,0.04,75,0,2,0,0,1,0,1,1,2,0,0,0,2,1,2,0,1,0,25,33,0,50,33,100,0
Denmark National Team,Denmark,2020,Denmark,6,2,4,0,3,0,3,0,0,0,3,2,1,1.5,0,2.25,2,0,0,6,12,7,5,19,4,15,1,11,3,4,-2,7,45,180,33,77,60,90,1,0,1,4,1,3,1,1,0,5,1,4,39,11,28,5,3,2,54,59,51,97,45,52,45,13,32,52,32,20,76,18,58,6,1,5,1,0,1,5,1,4,4,1,3,2,1,1,0,0,0,2.33,2,2.5,3.17,2,3.75,2,0.5,2.75,1.17,1.5,1,1.17,0.5,1.5,1,0.5,1.25,0.17,0,0.25,6,5,5,2,1,0,2,1,1,0,0,0,4,4,4,2,1,0,0,1,1,4,5,6,0,1,1,2,2,2,0,0,0,2,3,4,100,83,83,33,17,0,100,50,50,0,0,0,100,100,100,50,25,0,0,17,17,67,83,100,0,50,50,100,100,100,0,0,0,50,75,100,5,2,0,1,0,0,4,2,0,83,33,0,50,0,0,100,50,0,50,0,75,-52,17,0,25,67,50,75,17,50,0,83,50,100,5,2,3,83,100,75,1,1,0,17,50,0,1,0,1,17,0,25,67,50,75,33,50,25,0,0,0,6.50,5.50,7.00,0.83,1.5,0.50,83,83,67,50,33,17,17,17,1.84,2.18,1.66,0.90,0.27,1.21,67,2,0,2,1,2,1,0,1,3,0,0,0,1,1,2,2,0,0,0,0,0,50,100,25,17
Turkey National Team,Turkey,2020,Turkey,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,24,1,8,-7,9,5,4,0,1,5,3,-5,-2,273,0,90,34,36,30,0,0,0,1,0,1,2,2,0,0,0,0,20,12,8,7,4,3,50,50,50,42,22,20,14,7,7,28,15,13,46,28,18,0,0,0,3,1,2,-3,-1,-2,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3,2.5,4,0.33,0,1,2.67,2.5,3,1,0.5,2,0,0,0,1,0.5,2,3,3,2,1,0,0,2,2,1,0,0,0,1,1,1,1,0,0,0,0,1,2,3,3,0,0,1,2,2,2,0,0,0,0,1,1,100,100,67,33,0,0,100,100,50,0,0,0,100,100,100,100,0,0,0,0,33,67,100,100,0,0,50,100,100,100,0,0,0,0,100,100,2,1,0,1,0,0,1,1,0,67,33,0,50,0,0,100,100,0,0,0,0,-47,0,0,0,33,0,100,67,100,0,0,0,0,1,1,0,33,50,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,50,0,67,50,100,6.67,6.00,8.00,2.33,2,3.00,100,100,100,100,67,67,67,67,0.72,0.61,0.92,1.79,1.85,1.67,33,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,1,1,0,0,0,100,100,100,67
Scotland National Team,Scotland,2020,Scotland,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,22,1,5,-4,6,2,4,0,1,2,3,-2,-2,273,0,180,54,45,60,1,0,1,1,0,1,2,1,1,0,0,0,18,6,12,3,0,3,44,58,37,44,20,24,12,5,7,32,15,17,28,6,22,1,0,1,2,1,1,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,2,2,2,0.33,0,0.5,1.67,2,1.5,1,1,1,0.33,0,0.5,0.67,1,0.5,2,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,3,3,0,0,1,1,1,1,1,1,1,1,2,2,67,67,33,33,0,0,100,100,0,0,0,0,50,50,50,50,0,0,33,33,67,67,100,100,0,0,100,100,100,100,50,50,50,50,100,100,2,1,0,1,0,0,1,1,0,67,33,0,100,0,0,50,50,0,0,0,0,-60,33,0,50,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,67,0,100,33,100,0,6.00,6.00,6.00,1,0,1.50,100,100,100,100,100,67,0,0,0.83,1.04,0.74,0.75,0.59,0.84,67,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,33,0,50,67,100,50,0
Russia National Team,Russia,2020,Russia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,4,0,0,18,2,7,-5,9,5,4,1,1,4,3,-3,-2,134,90,180,39,23,60,1,0,1,1,1,0,1,0,1,1,0,1,9,1,8,5,2,3,43,36,47,28,7,21,9,3,6,19,4,15,39,15,24,1,0,1,3,1,2,-2,-1,-1,1,0,1,0,0,0,2,1,1,1,0,1.5,3,5,2,0.67,1,0.5,2.33,4,1.5,1.33,1,1.5,0.33,0,0.5,1,1,1,3,2,2,1,1,0,1,1,1,1,1,0,2,1,1,0,0,0,0,1,1,2,2,3,0,0,0,0,0,1,0,1,1,2,2,2,100,67,67,33,33,0,100,100,100,100,100,0,100,50,50,0,0,0,0,33,33,67,67,100,0,0,0,0,0,100,0,50,50,100,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,33,0,50,-12,33,0,50,33,100,0,33,0,50,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,0,0,0,67,100,50,3.00,1.00,4.00,1.67,2,1.50,33,33,0,0,0,0,0,0,0.47,0.00,0.76,0.97,1.34,0.79,67,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,2,0,0,0,67,100,50,0
