team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Poland National Team,Poland,2016,Poland,5,2,3,0,2,1,1,3,1,2,0,0,0,1.8,2,1.67,2,0,0,7,4,2,2,6,3,3,2,2,1,1,1,1,113,90,134,225,180,273,3,1,2,2,1,1,1,0,1,4,2,2,19,10,9,11,5,6,46,58,38,55,24,31,19,10,9,36,14,22,60,25,35,2,1,1,1,1,0,1,0,1,1,0,1,4,2,2,0,0,0,1.4,1,1.67,1.2,1.5,1,0.8,1,0.67,0.4,0.5,0.33,0.6,1,0.33,0.4,0.5,0.33,0.2,0.5,0,4,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,3,5,5,5,5,0,1,2,2,2,2,1,2,3,3,3,3,80,40,0,0,0,0,100,50,0,0,0,0,67,33,0,0,0,0,20,60,100,100,100,100,0,50,100,100,100,100,33,67,100,100,100,100,2,1,0,1,1,0,1,0,0,40,20,0,50,50,0,33,0,0,40,50,33,0,60,50,67,40,50,33,20,0,33,80,100,67,4,1,3,80,50,100,3,1,2,60,50,67,1,1,0,20,50,0,20,0,33,80,100,67,0,0,0,3.80,5.00,3.00,2.2,2.5,2.00,80,80,80,40,20,20,20,20,0.00,0.00,0.00,0.00,0.00,0.00,20,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,60,50,67,0,0,0,20
Germany National Team,Germany,2016,Germany,6,5,1,0,3,2,1,2,2,0,1,1,0,1.83,1.6,3,1,0,0,4,7,3,4,10,9,1,6,1,3,0,3,1,77,75,90,180,150,0,4,3,1,1,1,0,2,2,0,4,3,1,41,35,6,11,11,0,55,52,70,83,63,20,37,27,10,46,36,10,64,57,7,4,3,1,1,1,0,3,2,1,3,2,1,2,2,0,1,1,0,1.83,1.6,3,1.67,1.8,1,1.17,1.2,1,0.5,0.6,0,0.83,0.8,1,0.67,0.6,1,0.17,0.2,0,5,4,1,0,0,0,4,4,1,0,0,0,1,0,0,0,0,0,1,2,5,6,6,6,1,1,4,5,5,5,0,1,1,1,1,1,83,67,17,0,0,0,80,80,20,0,0,0,100,0,0,0,0,0,17,33,83,100,100,100,20,20,80,100,100,100,0,100,100,100,100,100,4,1,0,3,1,0,1,0,0,67,17,0,60,20,0,100,0,0,50,40,100,-9,67,60,100,17,20,0,33,40,0,67,60,100,5,4,1,83,80,100,3,3,0,50,60,0,0,0,0,0,0,0,50,40,100,33,40,0,17,20,0,6.83,7.00,6.00,1.83,2.2,0.00,100,100,100,67,50,33,17,17,0.00,0.00,0.00,0.00,0.00,0.00,0,1,1,1,0,1,0,2,0,1,0,0,0,0,1,0,0,2,0,33,40,0,17,20,0,17
England National Team,England,2016,England,4,3,1,0,1,1,0,2,1,1,1,1,0,1.25,1.33,1,2,0,0,13,4,4,0,8,8,0,4,0,4,0,0,0,90,68,0,90,68,0,1,0,1,3,3,0,1,0,1,2,2,0,33,22,11,3,2,1,64,65,62,65,46,19,26,18,8,39,28,11,37,26,11,1,1,0,3,3,0,-2,-2,0,0,0,0,2,1,1,2,2,0,0.5,0.33,1,2,2.67,0,1,1.33,0,1,1.33,0,1,1.33,0,0.25,0.33,0,0.75,1,0,3,3,2,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,0,0,1,3,3,3,1,1,1,1,1,1,75,75,50,0,0,0,100,100,67,0,0,0,0,0,0,0,0,0,25,25,50,100,100,100,0,0,33,100,100,100,100,100,100,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,67,33,33,0,0,0,25,33,0,0,25,0,100,75,100,0,25,0,100,50,67,0,2,1,1,50,33,100,3,2,1,75,67,100,1,1,0,25,33,0,0,0,0,50,33,100,50,67,0,8.25,7.33,11.00,0.75,0.67,1.00,100,100,100,75,50,25,0,0,0.00,0.00,0.00,0.00,0.00,0.00,25,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,50,33,100,25,33,0,0
Republic of Ireland National Team,Republic of Ireland,2016,Republic of Ireland,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,3,0,0,15,3,6,-3,9,2,7,1,2,1,5,0,-3,120,90,134,60,90,54,1,0,1,2,1,1,1,0,1,3,1,2,14,5,9,10,2,8,34,0,46,36,8,28,16,4,12,20,4,16,48,10,38,1,0,1,0,0,0,1,0,1,1,0,1,3,1,2,0,0,0,1.5,1,1.67,2.25,2,2.33,0.75,1,0.67,1.5,1,1.67,0.25,0,0.33,0.25,0,0.33,0,0,0,4,3,2,0,0,0,1,1,0,0,0,0,3,2,2,0,0,0,0,1,2,4,4,4,0,0,1,1,1,1,0,1,1,3,3,3,100,75,50,0,0,0,100,100,0,0,0,0,100,67,67,0,0,0,0,25,50,100,100,100,0,0,100,100,100,100,0,33,33,100,100,100,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,33,0,0,25,0,33,33,25,0,33,50,100,33,25,0,33,75,100,67,4,1,3,100,100,100,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,75,100,67,0,0,0,3.50,5.00,3.00,2.5,2,2.67,100,100,75,50,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,75,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,1,0,25,100,0,50,0,67,0
Hungary National Team,Hungary,2016,Hungary,4,2,2,0,1,0,1,2,1,1,1,1,0,1.25,0.5,2,1,0,0,12,6,8,-2,14,10,4,3,3,7,1,-4,2,60,60,60,45,26,180,1,0,1,2,1,1,1,1,0,2,1,1,18,9,9,12,8,4,51,45,58,44,20,24,23,10,13,21,10,11,55,26,29,1,1,0,3,2,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3.5,5,2,1.5,1.5,1.5,2,3.5,0.5,1,1.5,0.5,0.25,0.5,0,0.75,1,0.5,4,4,2,2,1,1,2,2,2,2,1,1,2,2,0,0,0,0,0,0,2,2,3,3,0,0,0,0,1,1,0,0,2,2,2,2,100,100,50,50,25,25,100,100,100,100,50,50,100,100,0,0,0,0,0,0,50,50,75,75,0,0,0,0,50,50,0,0,100,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,25,0,50,-38,25,0,50,50,50,50,25,50,0,50,50,50,1,0,1,25,0,50,3,1,2,75,50,100,1,1,0,25,50,0,0,0,0,50,50,50,50,50,50,4.50,4.50,4.50,3,4,2.00,100,100,50,50,50,50,25,25,0.00,0.00,0.00,0.00,0.00,0.00,100,0,1,0,0,1,1,1,0,2,1,0,0,1,2,0,1,2,1,50,50,50,25,50,0,0
Italy National Team,Italy,2016,Italy,5,3,2,0,3,2,1,1,0,1,1,1,0,2,2,2,1,0,0,5,6,2,4,8,4,4,3,3,1,1,2,2,75,90,60,225,273,180,3,2,1,1,0,1,1,1,0,3,2,1,27,16,11,18,9,9,40,41,40,37,18,19,21,12,9,16,6,10,75,52,23,2,1,1,0,0,0,2,1,1,2,1,1,3,2,1,0,0,0,1.8,1.67,2,1.6,1.33,2,1.2,1,1.5,0.4,0.33,0.5,0.4,0.33,0.5,0.4,0.33,0.5,0,0,0,5,3,0,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,0,2,5,5,5,5,0,2,3,3,3,3,0,0,2,2,2,2,100,60,0,0,0,0,100,33,0,0,0,0,100,100,0,0,0,0,0,40,100,100,100,100,0,67,100,100,100,100,0,0,100,100,100,100,2,0,0,1,0,0,1,0,0,40,0,0,33,0,0,50,0,0,60,67,50,1,60,67,50,20,0,50,20,33,0,60,67,50,5,3,2,100,100,100,3,2,1,60,67,50,0,0,0,0,0,0,40,33,50,60,67,50,0,0,0,5.40,5.33,5.50,3.6,3,4.50,100,100,80,80,80,60,40,40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,1,20,0,50,20,33,0,0
Albania National Team,Albania,2016,Albania,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,16,1,3,-2,4,1,3,0,1,1,2,-1,-1,273,0,180,90,90,90,1,0,1,0,0,0,2,1,1,1,0,1,15,5,10,10,5,5,39,45,36,27,7,20,14,5,9,13,2,11,33,8,25,1,0,1,1,1,0,0,-1,1,1,0,1,1,0,1,1,1,0,1.33,0,2,1.33,1,1.5,0.33,0,0.5,1,1,1,0.67,1,0.5,0.33,0,0.5,0.33,1,0,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,3,3,3,3,0,1,1,1,1,1,0,1,2,2,2,2,100,33,0,0,0,0,100,0,0,0,0,0,100,50,0,0,0,0,0,67,100,100,100,100,0,100,100,100,100,100,0,50,100,100,100,100,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,33,0,50,0,33,0,50,0,0,0,67,100,50,33,0,50,2,0,2,67,0,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,33,0,50,33,100,0,5.00,5.00,5.00,3.33,5,2.50,100,100,67,33,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,67,100,50,0
Belgium National Team,Belgium,2016,Belgium,5,2,3,0,3,1,2,0,0,0,2,1,1,1.8,1.5,2,2,0,0,6,9,5,4,14,5,9,3,6,2,3,1,3,50,60,45,90,90,90,3,1,2,1,0,1,1,1,0,4,1,3,41,13,28,9,2,7,43,58,34,74,25,49,32,9,23,42,16,26,48,17,31,2,0,2,2,1,1,0,-1,1,1,0,1,3,1,2,1,1,0,1.2,0.5,1.67,2.8,2.5,3,1.8,1.5,2,1,1,1,0.8,0.5,1,0.4,0,0.67,0.4,0.5,0.33,5,4,3,2,0,0,2,2,1,0,0,0,3,2,2,2,0,0,0,1,2,3,5,5,0,0,1,2,2,2,0,1,1,1,3,3,100,80,60,40,0,0,100,100,50,0,0,0,100,67,67,67,0,0,0,20,40,60,100,100,0,0,50,100,100,100,0,33,33,33,100,100,3,1,0,1,0,0,2,1,0,60,20,0,50,0,0,67,33,0,60,50,67,0,60,50,67,20,0,33,20,50,0,80,50,100,3,1,2,60,50,67,3,2,1,60,100,33,1,0,1,20,0,33,20,0,33,60,50,67,20,50,0,8.20,6.50,9.33,1.8,1,2.33,100,100,100,80,80,80,80,80,0.00,0.00,0.00,0.00,0.00,0.00,60,1,1,0,0,1,0,2,2,2,0,0,1,1,0,1,0,0,2,0,0,0,40,50,33,40
Wales National Team,Wales,2016,Wales,6,3,3,0,4,3,1,0,0,0,2,0,2,2,3,1,1,0,0,3,10,6,4,16,8,8,6,4,2,4,4,0,54,45,68,90,134,68,2,1,1,3,2,1,1,0,1,4,2,2,19,9,10,11,6,5,38,33,44,56,26,30,32,15,17,24,11,13,58,32,26,5,2,3,1,1,0,4,1,3,3,1,2,3,2,1,0,0,0,2,1.67,2.33,2.67,2.67,2.67,1.67,2,1.33,1,0.67,1.33,1,1,1,0.83,0.67,1,0.17,0.33,0,6,5,4,1,0,0,3,2,2,1,0,0,3,3,2,0,0,0,0,1,2,5,6,6,0,1,1,2,3,3,0,0,1,3,3,3,100,83,67,17,0,0,100,67,67,33,0,0,100,100,67,0,0,0,0,17,33,83,100,100,0,33,33,67,100,100,0,0,33,100,100,100,4,2,0,2,1,0,2,1,0,67,33,0,67,33,0,67,33,0,67,100,33,27,33,33,33,50,67,33,17,0,33,67,67,67,5,2,3,83,67,100,2,1,1,33,33,33,1,1,0,17,33,0,50,33,67,50,67,33,0,0,0,3.17,3.00,3.33,1.83,2,1.67,67,67,50,33,33,33,17,17,0.00,0.00,0.00,0.00,0.00,0.00,67,1,2,1,0,1,1,1,1,2,0,1,0,0,1,2,1,0,1,0,0,0,33,0,67,17
Slovakia National Team,Slovakia,2016,Slovakia,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,3,0,0,14,3,6,-3,9,0,9,0,3,0,6,0,-3,120,0,90,60,0,45,1,1,0,2,0,2,2,1,1,1,0,1,9,0,9,9,1,8,19,38,13,30,5,25,12,3,9,18,2,16,45,7,38,2,0,2,3,0,3,-1,0,-1,1,0,1,1,1,0,2,0,2,1,1,1,2.25,0,3,0.75,0,1,1.5,0,2,1.25,0,1.67,0.5,0,0.67,0.75,0,1,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,1,1,1,4,4,4,1,1,1,1,1,1,0,0,0,3,3,3,75,75,75,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,25,25,25,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,3,2,0,0,0,0,3,2,0,75,50,0,0,0,0,100,67,0,25,0,33,0,25,100,0,50,0,67,50,100,33,25,0,33,2,1,1,50,100,33,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,25,100,0,50,0,67,2.25,0.00,3.00,2.25,1,2.67,75,75,75,50,50,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,1,1,1,25,100,0,50,0,67,0
France National Team,France,2016,France,7,4,3,0,5,4,1,1,0,1,1,0,1,2.29,3,1.33,1,0,0,1,13,5,8,18,15,3,11,2,4,1,7,1,48,33,134,127,90,273,3,1,2,3,3,0,2,0,2,4,3,1,48,24,24,13,5,8,53,59,45,91,55,36,44,21,23,47,34,13,68,33,35,5,4,1,1,1,0,4,3,1,2,1,1,4,2,2,1,1,0,1.43,1.25,1.67,2.57,3.75,1,1.86,2.75,0.67,0.71,1,0.33,0.86,1.25,0.33,0.71,1,0.33,0.14,0.25,0,6,5,3,1,1,1,4,4,3,1,1,1,2,1,0,0,0,0,1,2,4,6,6,6,0,0,1,3,3,3,1,2,3,3,3,3,86,71,43,14,14,14,100,100,75,25,25,25,67,33,0,0,0,0,14,29,57,86,86,86,0,0,25,75,75,75,33,67,100,100,100,100,3,1,1,2,1,1,1,0,0,43,14,14,50,25,25,33,0,0,71,100,33,4,43,25,67,43,75,0,29,0,67,57,75,33,6,3,3,86,75,100,5,3,2,71,75,67,0,0,0,0,0,0,29,25,33,57,50,67,14,25,0,6.86,6.00,8.00,1.86,1.25,2.67,100,100,86,71,43,28,28,28,0.00,0.00,0.00,0.00,0.00,0.00,100,0,2,0,0,3,3,1,1,3,1,0,0,0,0,1,1,0,1,14,0,33,14,0,33,14
Croatia National Team,Croatia,2016,Croatia,4,2,2,0,2,1,1,1,0,1,1,1,0,1.75,1.5,2,1,0,0,9,5,4,1,9,4,5,2,3,2,2,0,1,72,90,60,90,90,90,1,0,1,2,1,1,1,1,0,2,0,2,25,9,16,8,4,4,36,18,53,53,28,25,15,6,9,38,22,16,47,21,26,3,1,2,1,1,0,2,0,2,2,0,2,2,2,0,0,0,0,2,1,3,2.25,2,2.5,1.25,1,1.5,1,1,1,1,1,1,0.75,0.5,1,0.25,0.5,0,4,2,2,1,0,0,2,1,1,0,0,0,2,1,1,1,0,0,0,2,2,3,4,4,0,1,1,2,2,2,0,1,1,1,2,2,100,50,50,25,0,0,100,50,50,0,0,0,100,50,50,50,0,0,0,50,50,75,100,100,0,50,50,100,100,100,0,50,50,50,100,100,3,1,0,1,1,0,2,0,0,75,25,0,50,50,0,100,0,0,50,50,50,0,25,0,50,50,50,50,25,50,0,50,0,100,3,1,2,75,50,100,1,1,0,25,50,0,1,1,0,25,50,0,50,0,100,50,100,0,0,0,0,6.25,4.50,8.00,2,2,2.00,100,100,50,50,25,25,25,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,1,25,0,50,25,50,0,0
Turkey National Team,Turkey,2016,Turkey,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,18,2,4,-2,6,1,5,0,2,1,3,-1,-1,134,0,90,68,90,60,1,0,1,0,0,0,2,1,1,1,0,1,9,3,6,7,3,4,44,50,42,24,9,15,3,3,0,21,6,15,40,14,26,1,0,1,3,1,2,-2,-1,-1,1,0,1,0,0,0,2,1,1,1,0,1.5,2,1,2.5,0.67,0,1,1.33,1,1.5,1.33,1,1.5,0.33,0,0.5,1,1,1,3,2,1,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,1,2,3,3,3,0,1,1,1,1,1,0,0,1,2,2,2,100,67,33,0,0,0,100,0,0,0,0,0,100,100,50,0,0,0,0,33,67,100,100,100,0,100,100,100,100,100,0,0,50,100,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,33,0,50,-38,33,0,50,0,0,0,67,100,50,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,0,0,0,67,100,50,3.00,3.00,3.00,2.33,3,2.00,100,100,67,67,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,33,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,67,100,50,0
Russia National Team,Russia,2016,Russia,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,23,2,6,-4,8,6,2,1,1,5,1,-4,0,134,180,90,45,36,90,0,0,0,2,1,1,1,1,0,0,0,0,14,10,4,2,1,1,54,58,45,29,22,7,10,7,3,19,15,4,32,18,14,0,0,0,4,4,0,-4,-4,0,0,0,0,1,0,1,2,2,0,0.33,0,1,2.67,3,2,0.67,0.5,1,2,2.5,1,1.33,2,0,0,0,0,1.33,2,0,3,3,2,0,0,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,1,3,3,3,0,0,0,2,2,2,0,0,1,1,1,1,100,100,67,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,0,0,33,100,100,100,0,0,0,100,100,100,0,0,100,100,100,100,2,2,0,2,2,0,0,0,0,67,67,0,100,100,0,0,0,0,0,0,0,-25,0,0,0,67,50,100,33,50,0,0,0,0,1,0,1,33,0,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,0,100,67,100,0,4.67,5.00,4.00,0.67,0.5,1.00,100,100,100,67,33,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,67,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,1,0,33,0,100,67,100,0,0
